ru,en,reasoning
Основы безопасности PostgreSQL 16,PostgreSQL 16 Database Security,
Руководство преподавателя,Instructor’s Guide,
Оглавление,Index,
Об этом руководстве,About This Document,
2,2,
Настройка рабочих мест,Setting Up the Environment,
3,3,
Отличия от курса по версии 13,Key Changes: Version 16 vs. Version 13,
4,4,
Методические указания к темам курса,Instructional Guidelines,
5,5,
Общие замечания,General Comments,
5,5,
Модуль «Управление доступом»,Access Control Module,
5,5,
Модуль «Методы аутентификации»,Simple authentication methods,
5,5,
Об этом руководстве,About This Document,
Настоящее руководство по учебному курсу «Основы безопасности PostgreSQL 16» предназначено для преподавателей.,This tutorial based on PostgreSQL 16 is designed for instructors.,
Перед изучением ознакомьтесь с документом «Курсы по PostgreSQL 16.,"Before studying the material, please review the document PostgreSQL 16 Courses",
"Руководство преподавателя» (instructor_guide-16.odt), который содержит общие сведения о курсах по версии PostgreSQL 16.","Instructor's Guide (instructor_guide-16.odt), which contains general information about PostgreSQL 16 courses.",
Первая часть «Настройка рабочих мест» описывает особенности подготовки рабочих мест для данного курса.,The first section Setting Up the Environment describes how to get the instructor’s and student’s workplaces up and running.,
Вторая часть «Отличия от курса по версии 13» описывает отличия настоящей версии курса,The second section Key Changes: Version 16 vs. Version 13 describes how PostgreSQL 16 courses differ from previous versions in terms of training.,
от предыдущей по версии PostgreSQL 13 с точки зрения преподавания.,from PostgreSQL 13 in terms of training.,
В последней части «Методические указания» даются указания и рекомендации по проведению курса.,The last section Instructional Guidelines provides instructions and recommendations for conducting the course.,
Настройка рабочих мест,Setting Up the Environment,
Преднастроенная ВМ последней версии доступна по адресу: https://edu.postgrespro.ru/16/DBS-16.ova,The pre-configured virtual machine of the latest version is available at: https://edu.postgrespro.com/16/DBA2-16-en.ova,
ВМ для платформы ARM64 (MacBook с процессором Apple Silicon) находится по адресу:,The VM for ARM64 (MacBook with Apple Silicon CPU) is available at:,
https://edu.postgrespro.ru/16/DBS-16-arm64.ova,https://edu.postgrespro.ru/16/DBA3-16-arm64.ova,
"Минимальный объем памяти для рабочего места как слушателя, так и преподавателя —",The minimum amount of memory required for both the student's and the instructor's workstations is,
2 Гбайта.,             2 bytes,
В виртуальной машине установлен сервер main PostgreSQL 16 из пакета репозитория apt.postgresql.org.,The VM has PostgreSQL 16 server installed from the apt.postgresql.org repository.,
Отличия от курса по версии 13,Key Changes: Version 16 vs. Version 13,
В этом разделе перечислены отличия от модуля «Управление доступом» курса «Администрирование PostgreSQL 13.,"This section outlines the differences from the ""Access Control"" module of the ""PostgreSQL 13 Administration.",
"Базовый курс», из которого образован данный курс","Basic Course,"" on which this course is based",
(в новой версии курса «Администрирование PostgreSQL 16.,"(In the new version of the ""PostgreSQL 16 Administration.",
Базовый курс» этот модуль был заменен одной обзорной темой).,"Basic Course,"" this module was replaced with a single overview topic).",
В курсе используется PostgreSQL версии 16.,This course uses PostgreSQL 16.,
"Учтены новые возможности, появившиеся",It incorporates some of the features introduced,
"в версиях 14, 15 и 16.","in versions 14, 15 and 16.",
"Две первые темы — «Роли и привилегии» и «Членство в ролях» — представляют собой перекомпоновку материала двух старых тем «Роли и атрибуты» и «Привилегии», вызванную многочисленными изменениями в управлении доступом в PostgreSQL версий 15 и 16.","The first two topics – ""Roles and Privileges"" and ""Role Membership"" – reorganize the material previously covered in the ""Roles and Attributes"" and ""Privileges"" topics, reflecting the numerous changes to access control introduced in PostgreSQL 15 and 16.",
"Новая информация попала преимущественно в тему «Членство в ролях», хотя материал обеих тем существенно переработан.","Most of the new information was added to the ""Role Membership"" topic, although the material in both topics has been substantially revised.",
"Тема 3 «Доступ на уровне строк» включает материал старой темы «Политики защиты строк», дополненный анализом двух более традиционных подходов к решению той же задачи: использованию табличных функций и представлений.","Topic 3, ""Row-Level Access,"" includes the material from the former ""Row Security Policies"" topic, supplemented with an analysis of two more traditional approaches to solving the same problem: using set-returning functions and views.",
